"community","calories"
"community1",1025
"community1",1018
"community1",903
"community1",950
"community1",946
"community1",1057
"community1",992
"community1",1082
"community1",987
"community1",1017
"community1",1028
"community1",980
"community1",1026
"community1",948
"community1",932
"community1",1072
"community1",989
"community1",936
"community1",984
"community1",939
"community1",1054
"community1",998
"community1",1058
"community1",982
"community1",982
"community1",921
"community1",1017
"community1",944
"community1",1083
"community1",963
"community1",1085
"community1",1049
"community1",975
"community1",1069
"community1",1120
"community1",1024
"community1",977
"community1",885
"community1",969
"community1",993
"community1",1029
"community1",1009
"community1",958
"community1",963
"community1",1065
"community1",906
"community1",1057
"community1",1037
"community1",1001
"community1",1017
"community1",1024
"community1",984
"community1",943
"community1",919
"community1",968
"community1",946
"community1",979
"community1",994
"community1",1004
"community1",959
"community1",925
"community1",1099
"community1",1015
"community1",890
"community1",944
"community1",1083
"community1",1004
"community1",1041
"community1",1042
"community1",994
"community1",989
"community1",1051
"community1",1045
"community1",1083
"community1",986
"community1",1023
"community1",994
"community1",1005
"community1",994
"community1",961
"community1",945
"community1",1041
"community1",1061
"community1",1031
"community1",980
"community1",1011
"community1",1061
"community1",1017
"community1",989
"community1",1024
"community1",947
"community1",976
"community1",1017
"community1",1019
"community1",1000
"community1",1084
"community1",985
"community1",1003
"community1",1040
"community1",1042
"community2",1685
"community2",1677
"community2",1497
"community2",1376
"community2",1591
"community2",1598
"community2",1471
"community2",1391
"community2",1533
"community2",1373
"community2",1590
"community2",1725
"community2",1541
"community2",1419
"community2",1604
"community2",1406
"community2",1334
"community2",1618
"community2",1653
"community2",1461
"community2",1404
"community2",1602
"community2",1616
"community2",1516
"community2",1466
"community2",1723
"community2",1512
"community2",1491
"community2",1524
"community2",1579
"community2",1433
"community2",1578
"community2",1566
"community2",1545
"community2",1441
"community2",1516
"community2",1475
"community2",1581
"community2",1436
"community2",1533
"community2",1346
"community2",1546
"community2",1629
"community2",1344
"community2",1506
"community2",1639
"community2",1629
"community2",1649
"community2",1723
"community2",1478
"community2",1488
"community2",1475
"community2",1330
"community2",1413
"community2",1480
"community2",1423
"community2",1649
"community2",1645
"community2",1510
"community2",1591
"community2",1439
"community2",1702
"community2",1330
"community2",1673
"community2",1529
"community2",1605
"community2",1642
"community2",1489
"community2",1453
"community2",1429
"community2",1703
"community2",1355
"community2",1552
"community2",1397
"community2",1582
"community2",1635
"community2",1661
"community2",1510
"community2",1553
"community2",1620
"community2",1423
"community2",1686
"community2",1394
"community2",1496
"community2",1547
"community2",1454
"community2",1582
"community2",1379
"community2",1514
"community2",1572
"community2",1483
"community2",1405
"community2",1365
"community2",1524
"community2",1483
"community2",1591
"community2",1618
"community2",1370
"community2",1567
"community2",1497
"community3",2542
"community3",1910
"community3",2084
"community3",1915
"community3",2070
"community3",2140
"community3",2096
"community3",1977
"community3",1931
"community3",2454
"community3",2781
"community3",1761
"community3",1942
"community3",1503
"community3",2031
"community3",2379
"community3",2114
"community3",2052
"community3",2117
"community3",2287
"community3",1948
"community3",2203
"community3",1848
"community3",1979
"community3",2045
"community3",1963
"community3",2258
"community3",2539
"community3",1979
"community3",1967
"community3",2349
"community3",1625
"community3",2121
"community3",2120
"community3",1592
"community3",1124
"community3",2179
"community3",2176
"community3",2250
"community3",1957
"community3",2374
"community3",1668
"community3",2095
"community3",1992
"community3",1772
"community3",1918
"community3",2385
"community3",1870
"community3",1485
"community3",1853
"community3",2342
"community3",2136
"community3",2301
"community3",2280
"community3",1832
"community3",1967
"community3",1919
"community3",1655
"community3",2369
"community3",1678
"community3",1956
"community3",2374
"community3",2206
"community3",2242
"community3",1874
"community3",2024
"community3",2368
"community3",2328
"community3",2275
"community3",1794
"community3",2188
"community3",2614
"community3",1948
"community3",2013
"community3",2279
"community3",2213
"community3",2078
"community3",1996
"community3",2258
"community3",1630
"community3",1850
"community3",1860
"community3",1987
"community3",2128
"community3",2719
"community3",2013
"community3",2129
"community3",1910
"community3",2093
"community3",2014
"community3",2272
"community3",1914
"community3",1855
"community3",1801
"community3",2064
"community3",2316
"community3",2564
"community3",2114
"community3",1893
"community3",2423
"community4",1355
"community4",1208
"community4",1438
"community4",1680
"community4",1874
"community4",1318
"community4",1496
"community4",1637
"community4",1559
"community4",1483
"community4",1700
"community4",1369
"community4",1326
"community4",1238
"community4",1258
"community4",1252
"community4",1351
"community4",1497
"community4",1521
"community4",1546
"community4",1409
"community4",1490
"community4",1124
"community4",1280
"community4",1665
"community4",1698
"community4",1632
"community4",1608
"community4",1782
"community4",1392
"community4",1450
"community4",1465
"community4",932
"community4",1755
"community4",1542
"community4",1673
"community4",1284
"community4",1560
"community4",1489
"community4",1069
"community4",1576
"community4",1499
"community4",1562
"community4",1540
"community4",1269
"community4",1574
"community4",1169
"community4",1528
"community4",1169
"community4",1510
"community4",1531
"community4",1479
"community4",1337
"community4",1064
"community4",1584
"community4",1603
"community4",1440
"community4",1112
"community4",1877
"community4",1315
"community4",1619
"community4",1641
"community4",1466
"community4",1351
"community4",1375
"community4",1792
"community4",1401
"community4",1691
"community4",1546
"community4",1514
"community4",1720
"community4",1220
"community4",1577
"community4",1625
"community4",1686
"community4",1243
"community4",1264
"community4",1433
"community4",1845
"community4",1787
"community4",1725
"community4",1460
"community4",1369
"community4",1344
"community4",1461
"community4",1266
"community4",1546
"community4",1596
"community4",1762
"community4",1509
"community4",1778
"community4",1190
"community4",1277
"community4",1706
"community4",1074
"community4",1041
"community4",1520
"community4",1579
"community4",1303
"community4",1384
"community5",1029
"community5",1114
"community5",1040
"community5",1030
"community5",1095
"community5",1065
"community5",1070
"community5",1109
"community5",1143
"community5",1125
"community5",1022
"community5",1072
"community5",1194
"community5",1100
"community5",1081
"community5",1085
"community5",1096
"community5",1003
"community5",1125
"community5",1091
"community5",1114
"community5",993
"community5",1169
"community5",1134
"community5",1045
"community5",938
"community5",1047
"community5",1100
"community5",1193
"community5",1030
"community5",1068
"community5",1107
"community5",1052
"community5",1131
"community5",1084
"community5",1046
"community5",1075
"community5",1071
"community5",1103
"community5",1076
"community5",1226
"community5",1122
"community5",1123
"community5",1089
"community5",1076
"community5",1179
"community5",1078
"community5",1050
"community5",1170
"community5",1058
"community5",1099
"community5",1226
"community5",998
"community5",1071
"community5",1092
"community5",1166
"community5",1138
"community5",1022
"community5",1057
"community5",1179
"community5",1025
"community5",969
"community5",1095
"community5",1152
"community5",1060
"community5",1132
"community5",1089
"community5",1110
"community5",1161
"community5",1099
"community5",1060
"community5",1050
"community5",1206
"community5",1044
"community5",1122
"community5",1120
"community5",1056
"community5",1057
"community5",1075
"community5",1144
"community5",1106
"community5",1169
"community5",1007
"community5",1120
"community5",1068
"community5",1110
"community5",1047
"community5",1175
"community5",1184
"community5",1085
"community5",1050
"community5",1120
