DirectPay,PovertyReduction
340,396
240,280
360,318
330,323
320,279
400,256
450,316
330,308
220,228
390,421
220,299
230,384
490,375
200,175
430,278
200,296
200,351
350,314
300,339
250,287
370,413
340,419
350,349
420,340
250,221
450,471
370,433
240,202
250,232
300,155
200,131
200,200
400,371
200,262
190,246
180,182
300,367
400,382
300,302
150,100
440,430
180,208
330,194
100,57
350,354
280,301
290,231
260,317
370,456
150,223
340,300
110,113
270,428
260,285
150,299
175,290
200,184
250,268
400,391
230,249
590,414
330,260
280,230
250,353
120,73
360,486
250,300
290,194
130,144
270,154
300,292
410,304
170,287
300,191
430,366
100,124
480,432
260,303
250,247
300,272
400,350
530,499
200,302
260,225
120,204
170,264
350,268
200,255
210,248
350,308
230,134
370,304
190,280
600,489
440,337
310,264
275,267
340,130
150,278
235,157
330,258
310,327
430,425
250,223
310,370
230,118
370,310
330,409
470,537
360,319
250,319
420,383
140,319
220,216
395,338
300,381
150,292
290,349
340,416
250,298
270,277
400,457
520,555
280,135
220,233
250,278
400,475
350,277
150,68
230,278
410,287
380,539
130,92
410,498
240,402
305,225
270,382
300,548
400,299
285,287
240,294
290,242
260,144
370,340
340,239
330,383
190,297
250,214
184,160
215,256
440,359
365,432
210,267
240,206
210,245
300,315
185,281
400,432
400,457
350,316
525,461
440,373
245,183
320,334
210,303
340,354
380,434
360,324
400,412
400,400
250,377
355,367
470,422
215,131
210,262
440,383
280,296
310,220
350,350
200,252
500,378
350,307
190,200
330,275
350,450
400,292
300,385
200,190
225,315
250,310
250,244
380,215
200,251
300,242
290,334
300,304
25,52
400,398
240,231
290,346
